Protein	FHT_Protien_Count	FHT_Protien_ProteinLists	Unique Peptide Count	Unique Sequence Count	Froze_Core_2015_N1_0_10_13	Froze_Core_2015_N1_10_20_21	Froze_Core_2015_N1_20_30_20	Froze_Core_2015_N1_30_40_25	Froze_Core_2015_N1_40_50_16	Froze_Core_2015_N2_0_30_8	Froze_Core_2015_N2_30_40_10	Froze_Core_2015_N2_40_50_1	Froze_Core_2015_N2_50_60_34	Froze_Core_2015_N3_0_10_27	Froze_Core_2015_N3_10_20_30	Froze_Core_2015_N3_20_30_32	Froze_Core_2015_N3_30_40_9	Froze_Core_2015_N3_40_50_6	Froze_Core_2015_N3_50_60_28	Froze_Core_2015_S1_0_10_18	Froze_Core_2015_S1_10_20_33	Froze_Core_2015_S1_20_30_19	Froze_Core_2015_S1_30_40_3	Froze_Core_2015_S1_40_50_17	Froze_Core_2015_S1_50_60_23	Froze_Core_2015_S2_0_10_7	Froze_Core_2015_S2_10_20_24	Froze_Core_2015_S2_20_30_31	Froze_Core_2015_S2_30_40_15	Froze_Core_2015_S2_40_50_29	Froze_Core_2015_S2_50_60_2	Froze_Core_2015_S3_0_10_22	Froze_Core_2015_S3_10_20_5	Froze_Core_2015_S3_20_30_14	Froze_Core_2015_S3_30_40_12	Froze_Core_2015_S3_40_50_26	Froze_Core_2015_S3_50_60_4
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_35_0002	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_35_0002	1	1																			1														
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_35_0020	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_35_0020	2	2																												3					
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_36_0011	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_36_0011	1	1																					1												
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_36_0023	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_36_0023	1	1																														1			
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_37_0014	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_37_0014	1	1							1																										
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_39_0023	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_39_0023	1	1											1																						
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_450_0001	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_450_0001	3	3			1		1		1										2																
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_450_0006	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_450_0006	1	1					1		1																										
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_5_0001	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_5_0001	2	2		1																			1												
N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_5_0044	1	N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_5_0044	1	1																													1				
