MAG_id,R1_N3_0_10_combined_OSU_JGI,R1_N3_30_40_combined_OSU_JGI,R1_N3_40_50_combined_OSU_JGI,R1_N3_50_60_combined_OSU_JGI,R1_S1_50_60_combined_OSU_JGI,R1_S2_0_10_combined_OSU_JGI,R1_S2_10_20_combined_OSU_JGI,R1_S2_30_40_combined_OSU_JGI,R1_S2_40_50_combined_OSU_JGI,R1_S2_50_60_combined_OSU_JGI
VIRSorter_S2010OSUsa_scaffold_281-cat_2,3.530176509,0,0,0,0,7.400099966,2.02731764,0.938978469,0,0
VIRSorter_S15060OSUsa_scaffold_0-circular-cat_2,0,0.967108182,2.468889333,0,6.727084667,0,0,0,0,0
VIRSorter_N33040OSUsa_scaffold_4-cat_2,0,4.287977692,0,0,0,0,0,0,0,0
VIRSorter_N35060OSUsa_scaffold_1-circular-cat_2,0,9.098168452,1.513941572,19.13105668,2.588779983,0,0,0,0,0
VIRSorter_N35060OSUsa_scaffold_2-cat_2,0,1.801128082,0,9.47076703,0,0,0,0,0,0
VIRSorter_S24050OSUsa_scaffold_158-cat_2,0,7.319855504,3.292961558,6.799570892,3.491109688,0,1.75065388,5.287486724,4.075829384,7.097912607
VIRSorter_S25060JGIsa_scaffold_0-cat_2,1.177558878,0,0,0,0,0,1.899447835,10.96842715,10.6122184,18.19803574
VIRSorter_S23040OSUsa_scaffold_16-circular-cat_2,0.793789689,0.930350466,0,1.330234221,0,0,1.791339727,4.833687361,2.741024476,3.277973299
VIRSorter_S24050OSUsa_scaffold_87-circular-cat_2,0,0,0.653268561,0,1.033344826,0,1.673931997,1.521917544,3.185093813,1.601659831
VIRSorter_S2010OSUsa_scaffold_66-circular-cat_2,0.931296565,0,0,0,0,3.422513351,0,0,0,0
VIRSorter_N34050OSUsa_scaffold_2-circular-cat_2,0,6.427530262,7.174863024,3.518684069,11.37368862,0,0,0,0,0
VIRSorter_N33040OSUsa_scaffold_14-cat_2,0,3.426072628,0.852909208,1.986411586,0.763433975,0,0,0,0,0
VIRSorter_S2010OSUsa_scaffold_71-cat_2,2.552627631,0.689524051,1.675872319,1.038798498,1.591882973,6.455686213,2.438825923,0.975185865,1.519184574,0
VIRSorter_S15060OSUsa_scaffold_2-cat_2,1.081304065,0,2.797187285,0,10.60040388,0,0,0,0,0
VIRSorter_N34050OSUsa_scaffold_3-cat_2,0,0,5.440207626,0,0,0,0,0,0,0
VIRSorter_S21020OSUsa_scaffold_29-cat_2,1.567578379,0,0,0,0,1.841475285,2.787561755,1.116394709,1.777575797,0
VIRSorter_N34050OSUsa_scaffold_9-cat_2,4.196459823,0,20.72380826,5.823350617,1.485494754,0,4.039523394,1.163464324,0,0
VIRSorter_N33040OSUsa_scaffold_22-cat_2,0,2.91399962,1.823384574,2.084748793,2.990691031,0,0,0,0,0
VIRSorter_N35060OSUsa_scaffold_9-cat_2,0,6.030800431,2.645238571,5.871625246,2.975914889,0,1.490264458,4.300231727,3.473349348,5.801654014
VIRSorter_S24050OSUsa_scaffold_130-cat_2,0,0.683186514,0,1.72358305,0,0,1.026445801,2.377619002,2.122963059,0
VIRSorter_N33040OSUsa_scaffold_25-cat_2,0,3.522403194,1.131296999,1.192562131,0.710239866,0,0,0,0,0
VIRSorter_S2010OSUsa_scaffold_678-cat_2,1.745087254,0,0,0,0,5.61386894,4.249927347,0,0,0
VIRSorter_S24050OSUsa_scaffold_166-cat_2,0,0,0,0,0,0,1.626271433,2.674519649,2.624164124,2.391824942
VIRSorter_S25060OSUsa_scaffold_143-cat_2,0,0,0,0,0,0,1.456553328,2.670898909,2.602090502,2.295841696
VIRSorter_S2010OSUsa_scaffold_145-cat_2,1.035051753,0,0,0,0,3.767132297,2.371403662,0,0,0
VIRSorter_S2010OSUsa_scaffold_154-cat_2,0,0,0,0,0,2.762212927,0,0,0,0
VIRSorter_S24050OSUsa_scaffold_191-cat_2,0.677533877,0,0,0,0,0,1.196163906,0.703630395,2.05933909,0
VIRSorter_N33040OSUsa_scaffold_47-cat_2,0,2.516002282,0,0,0,0,0,0,0,0
VIRSorter_S23040OSUsa_scaffold_76-cat_2,0,0.517143038,0,1.450026819,0,0,0.776518454,1.902095201,1.733428553,0
VIRSorter_S11020JGIsa_scaffold_14-cat_2,2.955147757,3.85195513,3.164304252,2.951904166,2.389794612,0,2.870095902,6.269914068,4.264104395,5.192790592
VIRSorter_S15060OSUsa_scaffold_359-cat_2,0,0,1.953150995,0,1.847017682,0,0,0,0,0
VIRSorter_N33040OSUsa_scaffold_89-cat_2,0,1.650294695,0.502428961,1.680672269,0,0,0,0,0,0
VIRSorter_S25060OSUsa_scaffold_305_gene_8_gene_35-3882-27517-cat_5,0.792539627,0,0,0,0,0,0.790467887,1.29019021,1.336103356,1.243904094
VIRSorter_S21020OSUsa_scaffold_63-cat_2,0.531276564,0,0,0,0,0,1.462365591,1.257603553,0,0
VIRSorter_N33040OSUsa_scaffold_102-cat_2,0,2.623740414,1.298773319,1.814768461,2.678421908,0,0,0,0,0
VIRSorter_S25060OSUsa_scaffold_1075-cat_2,0,0.420812472,0.643286529,0,0.66886667,0,0,0.502075891,0.680386938,1.209970623
VIRSorter_N34050OSUsa_scaffold_34-cat_2,0,0.906267824,1.872185621,0,0.587105354,0,0,0,0,0
VIRSorter_S2010OSUsa_scaffold_648-cat_2,0.510025501,0,0,0,0,1.804645779,0,0,0,0
VIRSorter_N33040OSUsa_scaffold_139-cat_2,0,2.209265479,0,0,0,0,0,0,0,0
VIRSorter_S25060OSUsa_scaffold_356-cat_2,0,0,0,0,0,0,0.544027899,0.935357729,0.975134714,1.186701957
VIRSorter_S1235060JGIca_scaffold_84-cat_2,0,0.570378351,0.495774273,0,1.052061272,0,0,0.707251134,0.832305395,1.530884306
VIRSorter_S21020OSUsa_scaffold_115-cat_2,1.471323566,0.613473604,0.703178723,0.52923297,0.441314092,1.325862205,2.477186864,0.74707927,1.171200416,0
VIRSorter_S25060OSUsa_scaffold_375-cat_2,0,0,0,0,0,0,0,1.266051946,0.975134714,1.427144838
VIRSorter_S23040OSUsa_scaffold_370-cat_2,0.837541877,1.117941568,0.90281937,0.741998927,1.380091612,0,1.047369951,2.142270928,1.393235084,1.857615156
VIRSorter_S25060OSUsa_scaffold_583-cat_2,0,0.656568857,0.689869346,0,1.071762794,0,0,0.718113353,0.882944881,0.997644048
VIRSorter_N33040OSUsa_scaffold_318-cat_2,0,3.149756005,1.365320201,3.102091901,1.572181451,0,0.852077884,2.306411123,2.013893397,3.014261753
VIRSorter_S24050OSUsa_scaffold_532-cat_2,10.37301865,6.298244502,4.09485149,8.793134275,4.685021918,21.9872149,6.993315897,0.906391812,2.28007531,0
VIRSorter_S15060OSUsa_scaffold_203-cat_2,0,0.977248241,1.106896475,0,1.339703492,0,0,0,0,0
VIRSorter_N33040OSUsa_scaffold_201-cat_2,0,1.357500475,0.916128746,0,0.306358666,0,0,0,0,0
VIRSorter_S23040OSUsa_scaffold_446-cat_2,0,0,0,0,0,0,0,1.180361108,0.825813153,1.321466314
VIRSorter_S2010OSUsa_scaffold_643-cat_2,1.051302565,0,0,0,0,1.425828006,1.039232781,0.999324129,0.779069013,0.643766421
VIRSorter_S23040OSUsa_scaffold_235-cat_2,0.556277814,1.166106851,0.566757614,0.686572501,0.661971137,0,0.580063935,1.401226224,0.94656885,1.131438876
VIRSorter_S24050OSUsa_scaffold_519-cat_2,0,0,0,0,0,0,0,1.268465772,0.869960397,1.393211367
VIRSorter_S24050OSUsa_scaffold_520-cat_2,0.767538377,0,0,0,0,0.649777708,1.01365882,0.966737472,1.088099721,0.780469833
VIRSorter_S15060OSUsa_scaffold_135-cat_2,0,1.140756702,0.986002972,0.470230645,1.462838004,0,0,0,0,0.272437296
VIRSorter_S2010OSUsa_scaffold_762-cat_2,0,0,0,0,0,1.144345356,0,0,0,0
VIRSorter_S21020OSUsa_scaffold_181-cat_2,0.845042252,0,0,0,0,1.552100597,0.976460331,0.343970262,0.585600208,0
VIRSorter_S24050OSUsa_scaffold_603-cat_2,0,0.263641549,0,0.715179689,0,0,0.374309794,1.081394226,1.032266442,0
VIRSorter_N3010OSUsa_scaffold_103-cat_2,1.276313816,0,0,0,0,0,0,0,0,0
VIRSorter_S2010OSUsa_scaffold_1624-cat_2,0.456272814,0,0,0,0,0.994396654,0.261551874,0,0,0
VIRSorter_S25060OSUsa_scaffold_681-cat_2,0,0,0,0,0,0,0,0.44897171,0.494708823,0.63988831
VIRSorter_S24050OSUsa_scaffold_676-cat_2,0,0,0,0,0,0,0,0,0.786859703,0
VIRSorter_S24050OSUsa_scaffold_810-cat_2,0.473773689,0,0,0,0,0,0.366172624,0.634836343,0.540154515,0.584625229
VIRSorter_S2010OSUsa_scaffold_1020-cat_2,0.506275314,0,0,0,0,1.031226159,0,0,0,0
VIRSorter_S15060OSUsa_scaffold_1004-cat_2,0,0.311806832,1.623743928,0,1.222479437,0,0,0,0,0
VIRSorter_N34050OSUsa_scaffold_186-cat_2,0,0.378984727,1.14349726,0,1.407673743,0,0,0,0,0.306370767
VIRSorter_S2010OSUsa_scaffold_2120-cat_2,0,0,0,0,0,0.69449925,0,0,0,0
VIRSorter_S2010OSUsa_scaffold_1123-cat_2,0,0,0,0,0,0.768158262,0,0,0,0
VIRSorter_S15060OSUsa_scaffold_351-cat_2,1.110055503,0.718676722,1.252190502,0,1.891346106,0,1.074106364,2.30520421,1.576316302,2.245426253
VIRSorter_S21020OSUsa_scaffold_391-cat_2,0.631281564,0,0,0,0,0,0.902063354,0.41879888,0.476530546,0
VIRSorter_S15060OSUsa_scaffold_267-cat_2,0,0,0.608903973,0,1.082598631,0,0.299912816,0.264313991,0.255794326,0.251107685
VIRSorter_N34050OSUsa_scaffold_215-cat_2,0,0.30800431,1.833366607,0,1.381076688,0,0,0,0,0
VIRSorter_S24050OSUsa_scaffold_831-cat_2,0,0,0.495774273,0,0,0,0,0.470696148,0.877751087,1.365095062
VIRSorter_S25060OSUsa_scaffold_1340-cat_2,0,0,0.475810208,0,0,0,0,0.398281356,0.645328832,1.28462426
VIRSorter_S24050OSUsa_scaffold_934-cat_2,0.512525626,0,0,0,0,0,0.539378088,1.04880757,0.866065052,1.057754768
VIRSorter_S24050OSUsa_scaffold_9222-cat_2,0.237511876,0.787122124,1.052549855,0,0.905284933,0,0.518453938,1.594332336,2.36707135,3.194593913
VIRSorter_S1232030JGIca_scaffold_187-cat_2,0.496274814,0,0,0,0,0,0,0.306555952,0.547945205,0.62728445
VIRSorter_S25060OSUsa_scaffold_1143-cat_1,0,0,0,0,0,0,0,0.240175727,0.273972603,0.527423092
VIRSorter_S24050OSUsa_scaffold_1029-cat_2,0.882544127,0,0,0,0,0,0.392909038,0.613111905,0.486918133,0.592381451
VIRSorter_N33040OSUsa_scaffold_895-cat_1,0.565028251,1.409468281,1.233335552,0.85106383,1.101315077,0,0.70793374,1.877956937,1.68019217,2.107753313
VIRSorter_S25060OSUsa_scaffold_3370-cat_2,0,0.319411877,0.391517491,0,0.539821701,0,0,0.305349039,0.451860027,0.560387035
VIRSorter_S25060OSUsa_scaffold_1251-cat_2,0,0,0,0,0,0,0,0.407936661,0.401220541,0.610802478
VIRSorter_S2010OSUsa_scaffold_1607-cat_2,0.511275564,0,0,0,0,1.460026833,0,0,0,0
VIRSorter_S15060OSUsa_scaffold_393-cat_2,0,1.267507447,1.010403496,0.554264259,0.748657834,0,0,0.473109974,0.384340713,0.813433776
VIRSorter_N33040OSUsa_scaffold_595-cat_2,0,1.463971101,0.845145405,1.212229573,1.44116633,0,0,0,0,0
VIRSorter_S2010OSUsa_scaffold_1951-cat_1,0.767538377,0,0,0,0,1.060163628,0.69514676,0.327073477,0.30773226,0
VIRSorter_N33040OSUsa_scaffold_2844-cat_2,0.241262063,1.05710121,0.90281937,0.525657071,1.120031522,0,0.420807905,1.031910785,1.36466922,1.422297199
VIRSorter_S15060OSUsa_scaffold_413-cat_2,0,0.681919006,0.850690978,0,1.191942078,0,0,0,0,0
VIRSorter_S21020OSUsa_scaffold_1501-cat_2,0.770038502,0.267444071,0.423681817,0,0.196030143,0.697129929,1.233362395,0.376556918,0.570018828,0
VIRSorter_S15060OSUsa_scaffold_591-cat_2,0,0.643893783,0.434772964,0.627570177,0.753583214,0,0,0,0,0
VIRSorter_S12030JGIsa_scaffold_294-cat_2,0.252512626,0.52601559,0.95716599,0,0.745702606,0,0,0.862942937,1.176394209,1.280746149
VIRSorter_N3010OSUsa_scaffold_178-cat_2,0.836291815,0,0,0,0,0,0.689334496,0,0,0
VIRSorter_S2010OSUsa_scaffold_1776-cat_2,0.300015001,0,0,0,0,0.757635546,0.210403952,0,0,0
VIRSorter_S2010OSUsa_scaffold_1778-cat_2,0.247512376,0,0,0,0.167462937,0.631362955,0.203429236,0,0,0
VIRSorter_S25060OSUsa_scaffold_1438-cat_1,0,0,0,0,0,0,0,0.203968331,0.349282607,0.491550566
VIRSorter_N34050OSUsa_scaffold_423-cat_2,0,0.285189175,0.668796167,0,0.317194503,0,0,0,0,0
VIRSorter_S25060OSUsa_scaffold_1560-cat_2,0,0,0.311661232,0,0.274836231,0,0,0.288452255,0.445367785,0.650553116
VIRSorter_S15060OSUsa_scaffold_471-circular-cat_2,0,0.996260853,0.795235243,0.9190059,0.868837118,0,0.303400174,0.680699044,0.42589106,0.811494721
VirSorter_S25060OSUsa_scaffold_1635-cat2,0.217510876,0,0.210731794,0,0.228537655,0,0.182505086,0.365694699,0.305135363,0.653461699
VirSorter_S123010JGIca_scaffold_192-cat2,2.181359068,0,0,0,0,5.108778576,1.126416739,0.706044221,0.481724339,0.224930436
VirSorter_S25060OSUsa_scaffold_2692-cat2,0,0.324481906,0.289478938,0,0.146776338,0,0,0.327073477,0.570018828,0.857062525
VirSorter_S25060OSUsa_scaffold_6641-cat1,0,0.460105203,0.497992502,0.255676739,0.245283948,0,0.265039233,0.485179106,0.719340388,1.144042737
VirSorter_S24050OSUsa_scaffold_1648-cat2,0,0.46644274,0.482464897,0.305739317,0.26498547,0,0.240627724,0.529834894,0.698565215,1.173128569
VirSorter_S2010OSUsa_scaffold_3770-cat2,0,0,0,0,0,0.405124563,0,0,0,0
VirSorter_N13010JGIca_scaffold_151-cat1,0.560028001,0,0,0,0.183224154,0,0.302237722,0.721734093,0.177887425,0.190996965
VirSorter_S25060OSUsa_scaffold_4218-cat2,0.178758938,0.112808163,0.183003926,0,0.153671871,0,0.145306597,0.168967848,0.215542427,0.358725265
